timestamp,ear_ema,mar_ema,pitch,yolo_classes,status_text
1766758084.421531,0.265,0.050,7.80,closed_mouth-open_eyes,NORMAL
1766758084.527098,0.263,0.038,6.44,closed_mouth,NORMAL
1766758084.6220856,0.264,0.054,6.82,closed_mouth,NORMAL
1766758084.7206345,0.264,0.066,6.55,closed_mouth,NORMAL
1766758084.816227,0.264,0.069,7.26,closed_mouth-open_eyes,NORMAL
1766758084.9227962,0.264,0.071,7.32,closed_mouth-open_eyes,NORMAL
1766758085.0157278,0.264,0.071,7.26,closed_mouth,NORMAL
1766758085.1064835,0.265,0.062,7.86,closed_mouth-open_eyes,NORMAL
1766758085.2027354,0.268,0.051,7.79,closed_mouth,NORMAL
1766758085.2955115,0.265,0.044,7.53,closed_mouth-open_eyes,NORMAL
1766758085.389301,0.264,0.036,8.06,closed_mouth-open_eyes,NORMAL
1766758085.4669764,0.268,0.034,7.61,closed_mouth-open_eyes-open_eyes,NORMAL
1766758085.5676854,0.273,0.030,7.96,closed_mouth-open_eyes,NORMAL
1766758085.660955,0.278,0.026,7.81,closed_mouth-open_eyes,NORMAL
1766758085.7556531,0.281,0.022,7.72,closed_mouth-open_eyes,NORMAL
1766758085.8613892,0.280,0.017,8.00,closed_mouth,NORMAL
1766758085.9459965,0.285,0.014,7.71,closed_mouth-open_eyes,NORMAL
1766758086.0457785,0.286,0.010,7.54,closed_mouth-open_eyes,NORMAL
1766758086.122735,0.289,0.010,7.79,closed_mouth,NORMAL
1766758086.2117062,0.290,0.009,6.77,None,NORMAL
1766758086.3135006,0.290,0.006,5.45,None,NORMAL
1766758086.4068196,0.283,0.008,5.40,None,NORMAL
1766758086.5067124,0.273,0.008,5.98,None,NORMAL
1766758086.6095235,0.265,0.008,5.69,None,NORMAL
1766758086.7108812,0.250,0.010,5.99,None,NORMAL
1766758086.8107338,0.239,0.016,5.13,None,NORMAL
1766758086.8864896,0.229,0.021,1.64,None,NORMAL
1766758086.9828334,0.229,0.021,0.00,None,NORMAL
1766758087.0769024,0.243,0.018,3.67,None,NORMAL
1766758087.1661966,0.243,0.018,0.00,None,NORMAL
1766758087.256198,0.243,0.018,0.00,None,NORMAL
1766758087.3580718,0.243,0.018,0.00,None,NORMAL
1766758087.456345,0.243,0.018,0.00,None,NORMAL
1766758087.549942,0.243,0.018,0.00,None,NORMAL
1766758087.6453063,0.243,0.018,0.00,None,NORMAL
1766758087.729862,0.243,0.018,0.00,None,NORMAL
1766758087.8151941,0.243,0.018,0.00,None,NORMAL
1766758087.9159067,0.243,0.018,0.00,None,NORMAL
1766758087.9916947,0.243,0.018,0.00,None,NORMAL
1766758088.083969,0.243,0.018,0.00,None,NORMAL
1766758088.1841245,0.243,0.018,0.00,None,NORMAL
1766758088.2758105,0.243,0.018,0.00,None,NORMAL
1766758088.3635175,0.243,0.018,0.00,None,NORMAL
1766758088.4655087,0.243,0.018,0.00,None,NORMAL
1766758088.5493033,0.243,0.018,0.00,None,NORMAL
1766758088.6505978,0.243,0.018,0.00,None,NORMAL
1766758088.7443347,0.243,0.018,0.00,None,NORMAL
1766758088.8370285,0.243,0.018,0.00,None,NORMAL
1766758088.93978,0.243,0.018,0.00,None,NORMAL
1766758089.0366757,0.243,0.018,0.00,None,NORMAL
1766758089.1407897,0.243,0.018,0.00,None,NORMAL
1766758089.2253551,0.243,0.018,0.00,None,NORMAL
1766758089.3344064,0.243,0.018,0.00,None,NORMAL
1766758089.4434507,0.243,0.018,0.00,None,NORMAL
1766758089.5420325,0.243,0.018,0.00,None,NORMAL
1766758089.6412709,0.243,0.018,0.00,None,NORMAL
1766758089.7278543,0.243,0.018,0.00,None,NORMAL
1766758089.834434,0.243,0.018,0.00,None,NORMAL
1766758089.923234,0.243,0.018,0.00,None,NORMAL
1766758090.021827,0.243,0.018,0.00,None,NORMAL
1766758090.1074183,0.243,0.018,0.00,None,NORMAL
1766758090.217522,0.243,0.018,0.00,None,NORMAL
1766758090.3125596,0.243,0.018,0.00,None,NORMAL
1766758090.432157,0.243,0.018,0.00,None,NORMAL
1766758090.5326953,0.243,0.018,0.00,None,NORMAL
1766758090.6287801,0.243,0.018,0.00,None,NORMAL
1766758090.7223487,0.243,0.018,0.00,None,NORMAL
1766758090.8139224,0.243,0.018,0.00,None,NORMAL
1766758090.911536,0.243,0.018,0.00,None,NORMAL
1766758091.0151427,0.243,0.018,0.00,None,NORMAL
1766758091.1292534,0.243,0.018,0.00,None,NORMAL
1766758091.2368546,0.243,0.018,0.00,None,NORMAL
1766758091.3254888,0.243,0.018,0.00,None,NORMAL
1766758091.4381075,0.243,0.018,0.00,None,NORMAL
1766758091.558787,0.243,0.018,0.00,None,NORMAL
1766758091.6549523,0.243,0.018,0.00,None,NORMAL
1766758091.731617,0.243,0.018,0.00,None,NORMAL
1766758091.834188,0.243,0.018,0.00,None,NORMAL
1766758091.9432857,0.243,0.018,0.00,None,NORMAL
1766758092.0303557,0.243,0.018,0.00,None,NORMAL
1766758092.0940082,0.243,0.018,0.00,None,NORMAL
1766758092.1776252,0.243,0.018,0.00,None,NORMAL
1766758092.264667,0.243,0.018,0.00,None,NORMAL
1766758092.356206,0.243,0.018,0.00,None,NORMAL
1766758092.457817,0.243,0.018,0.00,None,NORMAL
1766758092.569357,0.243,0.018,0.00,None,NORMAL
1766758092.6485906,0.243,0.018,0.00,None,NORMAL
1766758092.7326415,0.243,0.018,0.00,None,NORMAL
1766758092.8099914,0.243,0.018,0.00,None,NORMAL
1766758092.8896356,0.243,0.018,0.00,None,NORMAL
1766758092.9673223,0.243,0.018,0.00,None,NORMAL
1766758093.0424445,0.243,0.018,0.00,None,NORMAL
1766758093.1227736,0.243,0.018,0.00,None,NORMAL
